"School name","Cases from school-based transmission"
"HILLSIDE ELEMENTARY",0
"HOBART BOULEVARD EARLY EDUCATION CENTER",0
"HOBART BOULEVARD ELEMENTARY",0
"HOLLENBECK MIDDLE SCHOOL",0
"HOLLYWOOD ELEMENTARY",0
"HOLLYWOOD SENIOR HIGH",0
"HOLMES AVENUE EARLY EDUCATION CENTER",0
"HOLMES AVENUE ELEMENTARY",0
"HOOPER AVE EARLY EDUCATION CENTER",0
"HOOPER AVENUE ELEMENTARY",0
"HOOPER AVENUE PRIMARY CENTER",0
"HOOVER STREET ELEMENTARY",0
"HOPE STREET ELEMENTARY",0
"HORACE MANN UCLA COMMUNITY SCHOOL",0
"HUBBARD STREET ELEMENTARY",0
"HUBERT HOWE BANCROFT MIDDLE SCHOOL",0
"HUMPHREYS AVENUE ELEMENTARY",0
"HUNTINGTON DRIVE ELEMENTARY",0
"HUNTINGTON PARK ELEMENTARY",0
"HUNTINGTON PARK SENIOR HIGH",0
"HYDE PARK EARLY EDUCATION CENTER",0
"INDEPENDENCE CONTINUATION HIGH",0
"INDEPENDENCE ELEMENTARY",0
"INTERNATIONAL STUDIES LEARNING CENTER",0
"IOVINE AND YOUNG CENTER IDTE MAGNET",0
"IVANHOE ELEMENTARY",0
"JACK LONDON COMMUNITY DAY SCHOOL",0
"JACK LONDON CONTINUATION HIGH",0
"JAIME ESCALANTE EARLY EDUCATION CENTER",0
"JAIME ESCALANTE ELEMENTARY SCHOOL",0
"JAMES A GARFIELD SENIOR HIGH",0
"JAMES MADISON MIDDLE SCHOOL",0
"JAMES MONROE SENIOR HIGH",0
"JANE ADDAMS CONTINUATION HIGH",0
"JOAQUIN MILLER CAREER AND TRANSITION CENTER",0
"JOHN A SUTTER MIDDLE SCHOOL",0
"JOHN ADAMS MIDDLE SCHOOL",0
"JOHN B MONLUX ELEMENTARY",0
"JOHN BURROUGHS MIDDLE SCHOOL",0
"JOHN C FREMONT SENIOR HIGH",0
"JOHN F KENNEDY SENIOR HIGH",0
"JOHN H FRANCIS POLYTECHNIC SENIOR HIGH",0
"JOHN H LIECHTY MIDDLE SCHOOL",0
"JOHN HOPE CONTINUATION HIGH",0
"JOHN MARSHALL SENIOR HIGH",0
"JOHN MUIR MIDDLE SCHOOL",0
"JOHN R WOODEN HIGH SCHOOL",0
"JOHN W MACK ELEMENTARY",0
"JOHNNIE L COCHRAN JR MIDDLE SCHOOL",0
"JOSEPH LE CONTE MIDDLE SCHOOL",0
"JOSEPH POMEROY WIDNEY CAREER PREPARATORY & TRANSITION CENTER",0
"JUDITH F BACA ARTS ACADEMY",0
"JULIE KORENSTEIN ELEMENTARY",0
"JUSTICE STREET ACADEMY CHARTER",0
"KATHERINE JOHNSON STEM ACADEMY",0
"KENTER CANYON ELEMENTARY CHARTER",0
"KENTWOOD EARLY EDUCATION CENTER",0
"KENTWOOD ELEMENTARY",0
"KESTER AVENUE ELEMENTARY",0
"KING-DREW SENIOR HIGH MEDICINE AND SCIENCE MAGNET",0
"KINGSLEY ELEMENTARY SCHOOL",0
"KITTRIDGE STREET ELEMENTARY",0
"KNOLLWOOD STATE PRESCHOOL",0
"LA SALLE AVENUE ELEMENTARY",0
"LAFAYETTE PARK PRIMARY CENTER",0
"LAKE BALBOA COLLEGE PREPARATORY MAGNET K-12",0
"LAKE STREET PRIMARY SCHOOL",0
"LANAI ROAD ELEMENTARY",0
"LANGDON AVENUE ELEMENTARY",0
"LANKERSHIM ELEMENTARY",0
"LASSEN ELEMENTARY",0
"LATONA AVENUE ELEMENTARY",0
"LAUREL CINEMATIC ARTS CREATIVE TECH MAGNET",0
"LAUREL EARLY EDUCATION CENTER",0
"LEAPWOOD ELEMENTARY",0
"LEGACY SENIOR HIGH SCI TECH ENGINEERING ARTS MATH",0
"LEGACY SENIOR HIGH VISUAL AND PERFORMING ARTS",0
"LELAND STREET ELEMENTARY",0
"LEMAY STREET EARLY EDUCATION CENTER",0
"LEMAY STREET ELEMENTARY",0
"LENICIA B WEEMES ELEMENTARY",0
"LEO POLITI ELEMENTARY",0
"LEXINGTON AVENUE PRIMARY CENTER",0
"LIBERTY BOULEVARD ELEMENTARY",0
"LIGGETT STREET ELEMENTARY",0
"LILLIAN STREET ELEMENTARY",0
"LIMERICK AVENUE ELEMENTARY",0
"LINCOLN ESP MAGNET",0
"LINDA ESPERANZA MARQUEZ SENIOR HIGH HPIAM",0
