date,location,region,population,cases,casechange,caserate,deaths,deathrate
2022-04-29,Unincorporated - Sun Village,AV,6036,1810,1810,29987,19,315
2022-04-29,Unincorporated - Sunrise Village,SGV,1296,421,421,32485,2,154
2022-04-29,Unincorporated - Twin Lakes/Oat Mountain,SFV,1658,310,310,18697,4,241
2022-04-29,Unincorporated - Val Verde,AV,3309,858,858,25929,3,91
2022-04-29,Unincorporated - Valencia,SFV,3072,686,686,22331,2,65
2022-04-29,Unincorporated - Valinda,SGV,23371,7498,7498,32082,97,415
2022-04-29,Unincorporated - View Park/Windsor Hills,S,11635,2503,2503,21513,21,180
2022-04-29,Unincorporated - Walnut Park,S,16143,6123,6123,37930,64,396
2022-04-29,Unincorporated - West Antelope Valley,AV,1511,135,135,8934,2,132
2022-04-29,Unincorporated - West Carson,SB,22086,5588,5588,25301,165,747
2022-04-29,Unincorporated - West Chatsworth,SFV,12,4,4,33333,0,0
2022-04-29,Unincorporated - West LA,W,952,567,567,59559,21,2206
2022-04-29,Unincorporated - West Puente Valley,SGV,9835,3232,3232,32862,37,376
2022-04-29,Unincorporated - West Rancho Dominguez,S,1359,392,392,28845,9,662
2022-04-29,Unincorporated - West Whittier/Los Nietos,E,26925,8281,8281,30756,111,412
2022-04-29,Unincorporated - Westfield/Academy Hills,TBD,1300,171,171,13154,0,0
2022-04-29,Unincorporated - Westhills,SFV,839,131,131,15614,1,119
2022-04-29,Unincorporated - White Fence Farms,AV,3683,730,730,19821,9,244
2022-04-29,Unincorporated - Whittier Narrows,E,12,65,65,541667,1,8333
2022-04-29,Unincorporated - Whittier,SGV,3784,742,742,19609,10,264
2022-04-29,Unincorporated - Willowbrook,S,34913,13784,13784,39481,130,372
2022-04-29,Unincorporated - Wiseburn,SB,6027,1425,1425,23644,15,249
2022-04-29,age 0 to 4,,0,83497,83497
2022-04-29,age 12 to 17,,0,235703,235703
2022-04-29,age 18 to 29,,0,605885,605885
2022-04-29,age 30 to 49,,0,867078,867078
2022-04-29,age 5 to 11,,0,241526,241526
2022-04-29,age 50 to 64,,0,449684,449684
2022-04-29,age 65 to 79,,0,175042,175042
2022-04-29,age over 80,,0,56927,56927
2022-05-02,City of Agoura Hills,SFV,20883,4287,15,20529,22,105
2022-05-02,City of Alhambra,SGV,86725,17264,59,19907,255,294
2022-05-02,City of Arcadia,SGV,57755,8289,33,14352,166,287
2022-05-02,City of Artesia,E,16795,4217,5,25109,88,524
2022-05-02,City of Avalon,SB,3869,63,0,1628,0,0
2022-05-02,City of Azusa,SGV,50039,13806,15,27590,158,316
2022-05-02,City of Baldwin Park,SGV,76768,22995,23,29953,389,507
2022-05-02,City of Bell Gardens,E,43071,14205,14,32980,140,325
2022-05-02,City of Bell,E,36332,13926,16,38330,143,394
2022-05-02,City of Bellflower,E,77734,23449,29,30165,263,338
2022-05-02,City of Beverly Hills,W,34519,8580,27,24855,44,127
2022-05-02,City of Bradbury,SGV,1069,66,0,6174,0,0
2022-05-02,City of Burbank,SFV,107179,22776,79,21250,324,302
2022-05-02,City of Calabasas,SFV,24323,4101,27,16861,38,156
2022-05-02,City of Carson,SB,93847,25810,52,27503,322,343
2022-05-02,City of Cerritos,E,50068,8589,33,17155,85,170
2022-05-02,City of Claremont,SGV,36485,7176,17,19669,81,222
